iso,country,cown,region,year,income_group
ABW,Aruba,NA,Latin America & Caribbean,1960,High income
ABW,Aruba,NA,Latin America & Caribbean,1961,High income
ABW,Aruba,NA,Latin America & Caribbean,1962,High income
ABW,Aruba,NA,Latin America & Caribbean,1963,High income
ABW,Aruba,NA,Latin America & Caribbean,1964,High income
ABW,Aruba,NA,Latin America & Caribbean,1965,High income
ABW,Aruba,NA,Latin America & Caribbean,1966,High income
ABW,Aruba,NA,Latin America & Caribbean,1967,High income
ABW,Aruba,NA,Latin America & Caribbean,1968,High income
ABW,Aruba,NA,Latin America & Caribbean,1969,High income
ABW,Aruba,NA,Latin America & Caribbean,1970,High income
ABW,Aruba,NA,Latin America & Caribbean,1971,High income
ABW,Aruba,NA,Latin America & Caribbean,1972,High income
ABW,Aruba,NA,Latin America & Caribbean,1973,High income
ABW,Aruba,NA,Latin America & Caribbean,1974,High income
ABW,Aruba,NA,Latin America & Caribbean,1975,High income
ABW,Aruba,NA,Latin America & Caribbean,1976,High income
ABW,Aruba,NA,Latin America & Caribbean,1977,High income
ABW,Aruba,NA,Latin America & Caribbean,1978,High income
ABW,Aruba,NA,Latin America & Caribbean,1979,High income
ABW,Aruba,NA,Latin America & Caribbean,1980,High income
ABW,Aruba,NA,Latin America & Caribbean,1981,High income
ABW,Aruba,NA,Latin America & Caribbean,1982,High income
ABW,Aruba,NA,Latin America & Caribbean,1983,High income
ABW,Aruba,NA,Latin America & Caribbean,1984,High income
ABW,Aruba,NA,Latin America & Caribbean,1985,High income
ABW,Aruba,NA,Latin America & Caribbean,1986,High income
ABW,Aruba,NA,Latin America & Caribbean,1987,High income
ABW,Aruba,NA,Latin America & Caribbean,1988,High income
ABW,Aruba,NA,Latin America & Caribbean,1989,High income
ABW,Aruba,NA,Latin America & Caribbean,1990,High income
ABW,Aruba,NA,Latin America & Caribbean,1991,High income
ABW,Aruba,NA,Latin America & Caribbean,1992,High income
ABW,Aruba,NA,Latin America & Caribbean,1993,High income
ABW,Aruba,NA,Latin America & Caribbean,1994,High income
ABW,Aruba,NA,Latin America & Caribbean,1995,High income
ABW,Aruba,NA,Latin America & Caribbean,1996,High income
ABW,Aruba,NA,Latin America & Caribbean,1997,High income
ABW,Aruba,NA,Latin America & Caribbean,1998,High income
ABW,Aruba,NA,Latin America & Caribbean,1999,High income
ABW,Aruba,NA,Latin America & Caribbean,2000,High income
ABW,Aruba,NA,Latin America & Caribbean,2001,High income
ABW,Aruba,NA,Latin America & Caribbean,2002,High income
ABW,Aruba,NA,Latin America & Caribbean,2003,High income
ABW,Aruba,NA,Latin America & Caribbean,2004,High income
ABW,Aruba,NA,Latin America & Caribbean,2005,High income
ABW,Aruba,NA,Latin America & Caribbean,2006,High income
ABW,Aruba,NA,Latin America & Caribbean,2007,High income
ABW,Aruba,NA,Latin America & Caribbean,2008,High income
ABW,Aruba,NA,Latin America & Caribbean,2009,High income
ABW,Aruba,NA,Latin America & Caribbean,2010,High income
ABW,Aruba,NA,Latin America & Caribbean,2011,High income
ABW,Aruba,NA,Latin America & Caribbean,2012,High income
ABW,Aruba,NA,Latin America & Caribbean,2013,High income
ABW,Aruba,NA,Latin America & Caribbean,2014,High income
ABW,Aruba,NA,Latin America & Caribbean,2015,High income
ABW,Aruba,NA,Latin America & Caribbean,2016,High income
ABW,Aruba,NA,Latin America & Caribbean,2017,High income
AFG,Afghanistan,700,South Asia,1960,Low income
AFG,Afghanistan,700,South Asia,1961,Low income
AFG,Afghanistan,700,South Asia,1962,Low income
