year,country,iso,eu,gov_right1,gov_cent1,gov_left1,gov_party,gov_right2,gov_cent2,gov_left2,womenpar,instcons,fed,pres,prop,bic,kaopen,openc,realgdpgr,inflation,debt,deficit,pbal,interest,labfopar,unemp,sstran,postfisc_gini
1960,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,NA,27.42742,NA,3.728813559,NA,0.458213586,1.637458869,NA,NA,1.246594071,5.5,NA
1961,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,NA,26.59769,-0.003991936,2.287581699,NA,-0.357624615,1.524425768,NA,NA,2.455487967,6.1,NA
1962,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,NA,26.85435,5.52506038,-0.319488818,NA,-0.793822456,0.565037642,NA,NA,2.319218636,6,NA
1963,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,NA,28.72476,6.093025895,0.641025641,NA,-0.506212261,0.829675222,NA,NA,1.867157698,5.9,NA
1964,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,NA,28.50001,6.243737542,2.866242038,NA,-0.080390213,1.426062733,NA,67.23930359,1.448286772,5.7,NA
1965,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,NA,28.08008,4.988068508,3.405572755,NA,-0.731644434,0.677167042,NA,67.65817261,1.363484979,5.8,NA
1966,Australia,AUS,0,100,0,0,1,100,0,0,0.8,3,1,0,1,4,NA,26.80404,2.922193131,3.293413174,NA,-1.813948874,-0.280953545,NA,68.54257202,1.688496947,5.7,NA
1967,Australia,AUS,0,100,0,0,1,100,0,0,0.8,3,1,0,1,4,NA,26.79757,7.195437858,3.47826087,NA,-1.806760536,-0.446731676,NA,69.44941711,1.816037655,5.6,NA
1968,Australia,AUS,0,100,0,0,1,100,0,0,0.8,3,1,0,1,4,NA,25.30394,5.299605934,2.521008403,NA,-1.348576473,-0.037436739,NA,69.55122375,1.65241003,5.1,NA
1969,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,NA,26.21002,6.253267659,3.278688525,NA,-0.145596765,1.305171289,NA,69.80354309,1.573383451,5.4,NA
1970,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,25.60431,6.944980383,3.439153439,NA,-0.071755941,1.341615506,6.646666667,70.78222656,1.493359327,3.472635269,NA
1971,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,24.86617,3.869456983,6.138107417,NA,-0.487371946,0.906964608,6.713333333,69.35835266,1.737491488,3.666179895,NA
1972,Australia,AUS,0,96.45,0,3.55,2,96.45,0,3.55,0,3,1,0,1,4,0.4145133,25.24639,2.289179379,6.024096386,NA,-0.88717212,0.351596091,5.831666667,69.50713348,2.621435404,4.148085594,NA
1973,Australia,AUS,0,0,0,100,5,0,0,100,0,3,1,0,1,4,0.4145133,26.42753,4.363532764,9.090909091,NA,-0.184724218,1.119213489,6.933333333,69.9313736,1.886077166,4.172537804,NA
1974,Australia,AUS,0,0,0,100,5,0,0,100,0.8,3,1,0,1,4,0.4145133,29.06969,1.601895631,15.41666667,NA,-0.997135738,0.479742517,9.036666667,70.2038269,2.463405848,5.03096962,NA
1975,Australia,AUS,0,13.7,0,86.3,4,13.7,0,86.3,0,3,1,0,1,4,0.4145133,26.95397,2.419663392,15.16245487,NA,-2.914880221,-1.456215675,9.741666667,70.39002228,4.770507813,5.765166283,NA
1976,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,28.72426,3.888248787,13.32288401,NA,-3.021132214,-1.492052598,10.03083333,70.19806671,4.952014446,6.591074467,NA
1977,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,28.27149,1.486018577,12.30982019,NA,-3.511066394,-1.835871463,10.22666667,70.32157898,5.909198284,7.039838314,NA
1978,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,29.72952,2.014849613,8.004926108,NA,-4.179642291,-2.313775063,9.06,69.61016083,6.499222755,6.754650116,NA
1979,Australia,AUS,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,32.40879,4.617828181,9.122006842,NA,-2.884201682,-0.745305458,9.749166667,69.89115143,6.122083664,6.448663235,NA
