iso,year,CLI
AUS,1975,96.72348
AUT,1975,97.53211
BEL,1975,96.0854
CAN,1975,96.87431
CHE,1975,95.78066
DEU,1975,97.08455
DNK,1975,96.27446
EA19,1975,96.86488
FRA,1975,97.64394
GBR,1975,95.65195
GRC,1975,96.61731
ITA,1975,96.77177
JPN,1975,95.4699
NLD,1975,97.35851
NOR,1975,98.65408
SWE,1975,100.8823
USA,1975,95.61629
ZAF,1975,101.0068
AUS,1976,99.65843
AUT,1976,99.13772
BEL,1976,101.2498
CAN,1976,100.5705
CHE,1976,98.73406
DEU,1976,101.5454
DNK,1976,103.3706
EA19,1976,100.3849
FRA,1976,100.7006
GBR,1976,99.76152
GRC,1976,100.2909
ITA,1976,99.77242
JPN,1976,100.0187
NLD,1976,99.29926
NOR,1976,100.0151
SWE,1976,100.5066
USA,1976,100.3839
ZAF,1976,101.2048
AUS,1977,99.63931
AUT,1977,99.64607
BEL,1977,99.42773
CAN,1977,100.2297
CHE,1977,100.9125
DEU,1977,100.2951
DNK,1977,100.056
EA19,1977,99.56389
FRA,1977,99.90712
GBR,1977,99.26681
GRC,1977,100.1037
IRL,1977,99.31044
ITA,1977,99.03832
JPN,1977,101.0325
NLD,1977,99.96939
NOR,1977,99.97165
SWE,1977,100.0063
USA,1977,101.3666
ZAF,1977,97.2943
AUS,1978,99.70985
AUT,1978,99.09015
BEL,1978,99.94897
CAN,1978,101.0203
CHE,1978,100.7201
DEU,1978,99.54613
DNK,1978,100.0292
EA19,1978,99.42955
FRA,1978,99.67711
GBR,1978,102.1153
GRC,1978,103.426
IRL,1978,102.6597
ITA,1978,99.17538
JPN,1978,99.82876
NLD,1978,99.87163
NOR,1978,98.46159
SWE,1978,99.77851
USA,1978,101.4448
ZAF,1978,98.06507
AUS,1979,100.6973
AUT,1979,100.9595
BEL,1979,100.7056
CAN,1979,101.5794
CHE,1979,99.69916
DEU,1979,101.9329
DNK,1979,102.6001
EA19,1979,101.5283
FRA,1979,100.8642
GBR,1979,101.2463
GRC,1979,106.6855
IRL,1979,101.4404
ITA,1979,102.2373
JPN,1979,102.5632
NLD,1979,101.1446
NOR,1979,99.62858
SWE,1979,101.7274
USA,1979,101.2596
ZAF,1979,98.91612
AUS,1980,101.4536
AUT,1980,101.679
BEL,1980,100.9926
CAN,1980,100.1028
CHE,1980,102.3329
DEU,1980,100.6116
DNK,1980,98.92662
EA19,1980,100.7888
FRA,1980,100.8356
GBR,1980,98.93627
GRC,1980,100.4679
IRL,1980,100.6379
ITA,1980,101.8488
JPN,1980,101.1445
NLD,1980,101.2227
NOR,1980,103.5369
SWE,1980,101.4807
USA,1980,98.46516
ZAF,1980,102.2741
AUS,1981,101.6141
AUT,1981,99.45036
BEL,1981,98.34956
CAN,1981,100.9935
CHE,1981,100.3965
DEU,1981,98.50054
DNK,1981,97.93095
EA19,1981,98.98958
FRA,1981,99.91354
GBR,1981,98.45882
GRC,1981,98.40317
IRL,1981,102.1059
ITA,1981,99.99563
JPN,1981,99.39011
MEX,1981,104.2812
NLD,1981,98.57889
NOR,1981,100.5352
SWE,1981,98.88204
USA,1981,99.87046
ZAF,1981,103.9858
AUS,1982,98.81521
AUT,1982,98.86077
BEL,1982,99.88758
CAN,1982,96.27174
CHE,1982,98.13896
DEU,1982,98.63244
DNK,1982,98.40391
EA19,1982,99.25036
FRA,1982,100.5291
GBR,1982,98.51075
GRC,1982,98.74093
IRL,1982,98.10187
ITA,1982,100.2913
JPN,1982,100.5761
MEX,1982,102.1126
NLD,1982,98.32829
NOR,1982,99.1737
SWE,1982,99.53099
USA,1982,96.98999
ZAF,1982,100.4626
AUS,1983,96.82836
AUT,1983,98.62225
BEL,1983,99.28401
CAN,1983,98.51994
CHE,1983,97.66679
DEU,1983,99.0363
DNK,1983,98.39983
EA19,1983,98.71746
FRA,1983,100.104
GBR,1983,100.2376
GRC,1983,99.41833
IRL,1983,96.80183
ITA,1983,97.87894
JPN,1983,99.54024
MEX,1983,96.43069
NLD,1983,98.56335
NOR,1983,97.88628
SWE,1983,100.1302
USA,1983,98.57181
ZAF,1983,98.99875
AUS,1984,101.1818
AUT,1984,100.053
BEL,1984,100.5179
CAN,1984,100.9058
CHE,1984,100.7219
DEU,1984,101.2125
DNK,1984,102.097
EA19,1984,99.97589
ESP,1984,98.79687
FRA,1984,99.7248
GBR,1984,100.9744
GRC,1984,100.1919
IRL,1984,101.6626
ITA,1984,99.19645
JPN,1984,99.77799
MEX,1984,100.0877
NLD,1984,100.2951
NOR,1984,100.529
SWE,1984,102.4688
USA,1984,102.4634
ZAF,1984,100.9236
AUS,1985,100.4978
AUT,1985,100.2883
BEL,1985,99.90504
CAN,1985,98.84013
CHE,1985,100.5952
DEU,1985,100.6265
DNK,1985,101.0675
EA19,1985,99.67843
ESP,1985,98.13245
FIN,1985,96.91888
FRA,1985,99.11756
GBR,1985,99.78581
GRC,1985,101.7777
IRL,1985,100.252
ITA,1985,99.34613
JPN,1985,99.90137
MEX,1985,101.8358
NLD,1985,100.806
NOR,1985,101.0106
SWE,1985,100.207
USA,1985,100.2251
ZAF,1985,97.20145
AUS,1986,100.0217
AUT,1986,100.0135
BEL,1986,100.0945
CAN,1986,100.5823
CHE,1986,101.3719
DEU,1986,100.2729
DNK,1986,102.0835
EA19,1986,99.62035
ESP,1986,98.30383
FIN,1986,96.93491
FRA,1986,99.70318
GBR,1986,99.53162
GRC,1986,97.78264
IRL,1986,97.17831
ITA,1986,99.59122
JPN,1986,98.54316
MEX,1986,98.21697
NLD,1986,100.7397
NOR,1986,101.8262
NZL,1986,97.10573
SWE,1986,100.3051
USA,1986,100.0457
ZAF,1986,98.91643
AUS,1987,99.754
AUT,1987,98.99755
BEL,1987,99.36535
CAN,1987,101.7403
CHE,1987,99.64002
DEU,1987,99.05656
DNK,1987,99.87328
EA19,1987,99.61822
ESP,1987,99.91776
FIN,1987,101.1475
FRA,1987,99.86117
GBR,1987,100.4286
GRC,1987,98.06474
IRL,1987,98.42162
ITA,1987,100.4283
JPN,1987,99.21163
MEX,1987,100.0055
NLD,1987,99.76868
NOR,1987,99.65387
NZL,1987,99.11846
PRT,1987,101.2448
SWE,1987,101.5169
USA,1987,100.0347
ZAF,1987,100.6502
AUS,1988,100.9706
AUT,1988,98.61347
BEL,1988,100.0583
CAN,1988,101.5883
CHE,1988,99.35424
DEU,1988,99.4241
DNK,1988,99.41487
EA19,1988,99.97193
ESP,1988,100.4757
FIN,1988,101.5792
FRA,1988,100.1826
GBR,1988,101.8106
GRC,1988,101.8889
IRL,1988,99.49226
ITA,1988,100.583
JPN,1988,101.895
MEX,1988,98.49223
NLD,1988,99.12006
NOR,1988,99.34711
NZL,1988,99.31327
PRT,1988,100.712
SWE,1988,101.2437
TUR,1988,108.6357
USA,1988,100.307
ZAF,1988,101.9578
AUS,1989,101.4854
AUT,1989,100.6595
BEL,1989,100.732
BRA,1989,100.1879
CAN,1989,100.5802
CHE,1989,101.4465
DEU,1989,100.695
DNK,1989,99.57957
EA19,1989,101.197
ESP,1989,101.3652
FIN,1989,101.8436
FRA,1989,101.7451
GBR,1989,101.006
GRC,1989,102.9864
IRL,1989,103.376
ITA,1989,101.7197
JPN,1989,101.5661
MEX,1989,102.0397
NLD,1989,100.2921
NOR,1989,98.95684
NZL,1989,100.6504
PRT,1989,100.4903
SWE,1989,102.5923
TUR,1989,96.87861
USA,1989,100.4778
ZAF,1989,100.8836
AUS,1990,99.25415
AUT,1990,102.0281
BEL,1990,101.321
BRA,1990,99.34546
CAN,1990,99.26802
CHE,1990,101.8265
CHN,1990,95.72581
DEU,1990,100.7763
DNK,1990,99.98177
EA19,1990,101.1899
ESP,1990,101.9338
FIN,1990,96.94746
FRA,1990,101.423
GBR,1990,99.68965
GRC,1990,104.6558
IRL,1990,101.6903
ITA,1990,101.4004
JPN,1990,101.6608
KOR,1990,100.1611
MEX,1990,100.2612
NLD,1990,100.7455
NOR,1990,100.6842
NZL,1990,100.746
PRT,1990,100.8206
SWE,1990,100.7643
TUR,1990,103.5828
USA,1990,99.79837
ZAF,1990,100.1303
AUS,1991,97.54076
AUT,1991,101.0657
BEL,1991,99.73185
BRA,1991,100.0494
CAN,1991,97.19464
CHE,1991,97.72323
CHN,1991,95.0396
DEU,1991,100.4291
DNK,1991,99.30641
EA19,1991,99.85126
ESP,1991,100.3216
FIN,1991,95.47402
FRA,1991,99.71893
GBR,1991,97.62321
GRC,1991,98.04915
IRL,1991,98.65556
ITA,1991,99.74355
JPN,1991,100.4612
KOR,1991,98.77898
MEX,1991,99.86139
NLD,1991,99.72611
NOR,1991,100.4077
NZL,1991,96.64265
PRT,1991,99.96811
SWE,1991,98.49796
TUR,1991,95.84576
USA,1991,97.23795
ZAF,1991,98.90533
AUS,1992,99.63978
AUT,1992,99.7274
BEL,1992,100.4835
BRA,1992,98.40048
CAN,1992,99.30531
CHE,1992,98.56031
CHN,1992,98.94833
DEU,1992,99.92261
DNK,1992,100.1097
EA19,1992,99.78287
ESP,1992,100.0919
FIN,1992,96.47395
FRA,1992,99.4713
GBR,1992,99.50028
GRC,1992,100.1499
HUN,1992,100.7005
IRL,1992,100.5656
ITA,1992,100.1337
JPN,1992,98.682
KOR,1992,97.60023
MEX,1992,99.84211
NLD,1992,99.76923
NOR,1992,99.68722
NZL,1992,99.24473
POL,1992,99.21783
PRT,1992,99.78777
SWE,1992,98.23589
TUR,1992,100.4295
USA,1992,99.12001
ZAF,1992,98.97599
AUS,1993,100.4238
AUT,1993,98.09548
BEL,1993,98.26635
BRA,1993,99.91788
CAN,1993,99.58638
CHE,1993,97.67501
CHN,1993,101.639
DEU,1993,96.819
DNK,1993,97.67029
EA19,1993,97.45087
ESP,1993,97.22966
FIN,1993,96.53934
FRA,1993,98.27485
GBR,1993,99.61148
GRC,1993,99.35188
HUN,1993,97.7984
IRL,1993,97.26982
ITA,1993,97.53224
JPN,1993,97.76347
KOR,1993,98.18171
MEX,1993,98.87778
NLD,1993,98.08672
NOR,1993,98.69542
