country,year,iso,region,income_group,gdppccurr,lgdppc,gdpgr,prevgdpgr,gdppcgr,prevgdppcgr,debt,deltadebt,deficit,pbal,inflation,democ,autoc,polity,DEM_polity,durable,xcons,state_fail,cl,pr,fh_status,DEM_fh,fh_score,uds_mean,legis_frac,parliaresp,legiseff,system,execlcr,allhouse,oppmajh,oppmajs,legelec,exelec,liec,eiec,housesys,sensys,cpds,eu,cab_right,cab_cent,cab_left,cab_leaning,party_right,party_cent,party_left,womenpar,inscons,fed,pres,repres,bic,kaopen,openc,interest,unemp,sstran,postfisc_gini
Afghanistan,1975,AFG,South Asia,Low income,187.975604,5.236312188,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7,0.15,0,11,0,0,0.166666667,0,0,0,0.083333333,-1.047927813,0,1,0,0,0.5,NA,NA,NA,0,0,0,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1976,AFG,South Asia,Low income,199.0261727,5.293436337,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7,0.15,0,12,0,0,0.166666667,0,0,0,0.083333333,-1.052307745,0,1,0,0,0.5,NA,NA,NA,0,0,0,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1977,AFG,South Asia,Low income,226.0053438,5.420558644,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7,0.15,0,13,0,0,0.166666667,0.166666667,0,0,0.166666667,-0.966488534,0,1,0,0,0.5,NA,NA,NA,0,0,0,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1978,AFG,South Asia,Low income,249.2873863,5.518606393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,NA,1,0,0,0,0,0,-0.954496664,0,1,0,0,0.5,NA,NA,NA,0,0,0,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1979,AFG,South Asia,Low income,277.9007417,5.627264006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,0,0,0,0,-1.864144927,0,1,0,0,0,NA,NA,NA,0,0,0,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1980,AFG,South Asia,Low income,274.8808587,5.616337763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,-2.039083552,0,1,0,0,0,NA,NA,NA,0,0,0,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1981,AFG,South Asia,Low income,266.4930418,5.585348134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,-1.851545553,0,1,0,0,0,1,0,NA,0,0,0.416666667,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1982,AFG,South Asia,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,-1.860567351,0,1,0,0,0,1,0,NA,0,0,0.416666667,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1983,AFG,South Asia,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,-1.644053788,0,1,0,0,0,1,0,NA,0,0,0.416666667,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1984,AFG,South Asia,Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,-1.641144392,0,1,0,0,0,1,0,NA,0,0,0.416666667,0.166666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
