iso,country,cown,region,year,gdppccurr,gdpgr,gdppcgr,inflation,imf_debt,wb_debt,imf_balance,oecd_balance,income_group,lending_category
ABW,Aruba,NA,Latin America & Caribbean,1960,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1961,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1962,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1963,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1964,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1965,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1966,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1967,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1968,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1969,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1970,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1971,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1972,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1973,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1974,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1975,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1976,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1977,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1978,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1979,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1980,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1981,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1982,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1983,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1984,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1985,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1986,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1987,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1988,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1989,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1990,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1991,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1992,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1993,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1994,17342.47194,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1995,16441.79064,1.245085912,-3.322816475,-1.934979475,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1996,16585.19553,7.814431719,4.087577084,-3.089109793,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1997,17926.57284,6.66662183,3.856747566,4.073930386,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1998,19081.35166,1.154469392,-0.961873529,7.47549382,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,1999,19356.20339,4.514062033,2.484959182,-1.019211522,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2000,20620.70063,-0.364695779,-2.391332678,9.14274114,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2001,20670.65566,-2.164459409,-4.318151421,4.766220794,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2002,20434.29944,0.465289865,-1.749363126,0.616713218,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2003,20834.5102,7.519472373,5.275258147,-3.150534796,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2004,22567.82492,1.176690484,-0.585808961,8.957724838,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2005,23302.83199,0.380390971,-0.918128747,4.213696288,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2006,24014.94427,2.355119443,1.542019924,1.490894631,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2007,25921.02605,-3.654626242,-4.023940656,12.46248902,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2008,27546.89939,-6.881302064,-7.003496639,14.27570645,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2009,24631.43486,-5.653502086,-5.746497363,-5.132055593,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2010,24271.94042,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2011,25324.72036,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2012,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2013,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2014,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2015,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2016,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
ABW,Aruba,NA,Latin America & Caribbean,2017,NA,NA,NA,NA,NA,NA,NA,NA,High income,NA
AFG,Afghanistan,700,South Asia,1960,59.77732651,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1961,59.87815281,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1962,58.49287383,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1963,78.78275804,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1964,82.20844386,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1965,101.2904713,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1966,137.8993619,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1967,161.3220001,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1968,129.5066538,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1969,129.7985414,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1970,157.1874224,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1971,160.3728356,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1972,136.1170144,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1973,144.1103189,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1974,174.9420383,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1975,187.975604,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1976,199.0261727,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1977,226.0053438,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1978,249.2873863,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1979,277.9007417,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1980,274.8808587,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1981,266.4930418,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1982,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1983,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1984,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1985,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1986,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1987,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1988,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1989,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
AFG,Afghanistan,700,South Asia,1990,NA,NA,NA,NA,NA,NA,NA,NA,Low income,IDA
