Country.Name,Country Code,Indicator Name,Indicator Code,year,gdppcgr,cown
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1960,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1961,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1962,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1963,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1964,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1965,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1966,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1967,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1968,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1969,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1970,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1971,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1972,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1973,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1974,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1975,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1976,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1977,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1978,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1979,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1980,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1981,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1982,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1983,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1984,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1985,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1986,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1987,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1988,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1989,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1990,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1991,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1992,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1993,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1994,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1995,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1996,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1997,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1998,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1999,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2000,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2001,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2002,NA,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2003,3.343150039,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2004,-3.361110893,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2005,6.954473818,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2006,2.200612989,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2007,10.64918383,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2008,1.040489085,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2009,17.951089,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2010,5.425967848,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2011,2.87964757,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2012,10.75025221,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2013,0.512509233,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2014,-0.526844934,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2015,-1.628298146,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2016,-0.349412106,700
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2017,NA,700
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1960,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1961,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1962,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1963,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1964,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1965,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1966,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1967,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1968,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1969,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1970,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1971,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1972,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1973,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1974,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1975,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1976,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1977,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1978,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1979,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1980,NA,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1981,3.648648547,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1982,0.795840071,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1983,-1.016802172,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1984,-3.307497203,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1985,-0.290595348,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1986,3.614655544,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1987,-2.74949638,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1988,-3.262522334,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1989,6.923617284,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1990,-11.1879053,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1991,-29.16327149,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1992,-6.635518685,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1993,10.27078613,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1994,8.96687739,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1995,14.00202422,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1996,9.780180454,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1997,-10.27846136,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1998,9.697045988,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1999,14.22231692,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2000,7.34863863,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2001,8.958087716,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2002,4.544405735,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2003,6.16998247,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2004,6.152274487,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2005,6.263275587,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2006,6.098291609,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2007,6.703337826,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2008,4.560117915,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2009,4.051449403,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2010,4.226218994,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2011,2.826409979,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2012,1.587602059,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2013,1.185969096,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2014,1.985307816,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2015,2.524705,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2016,3.535389162,339
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2017,NA,339
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1960,NA,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1961,-15.7262892,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1962,-21.64509963,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1963,31.00794513,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1964,3.163862554,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1965,3.422966539,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1966,-7.396121934,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1967,6.38817729,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1968,7.65083934,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1969,5.366432224,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1970,5.828007274,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1971,-13.76222588,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1972,23.96858578,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1973,1.006177923,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1974,4.566004262,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1975,2.140967344,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1976,5.35310442,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1977,2.283856964,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1978,6.083678663,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1979,4.335917658,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1980,-2.216549966,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1981,-0.129456185,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1982,3.13164697,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1983,2.159856012,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1984,2.389800677,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1985,0.611630511,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1986,-2.517517775,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1987,-3.509143504,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1988,-3.711752354,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1989,1.646415312,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1990,-1.746785531,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1991,-3.588531856,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1992,-0.547389546,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1993,-4.232193259,615
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1994,-2.912566121,615
