iso,cown,country,region,income_group,year,gdppccurr,gdpgr,gdppcgr,inflation.x,imf_debt,wb_debt,imf_balance,oecd_balance,democ,autoc,polity2,durable,xconst,sf,cl,pr.x,status,fh_score,uds_mean,partyfrac,regime_type,effexec,parliaresp,legiseff,legisselec,system,prtyin,execrlc,allhouse,totalseats,oppmajh,oppmajs,legelec,exelec,liec,eiec,ssh,pluralty,pr.y,housesys,sensys,cpds,eu,cab_right,cab_cent,cab_left,cab_leaning,party_right,party_cent,party_left,womenpar,instcons,fed,pres,repres,bic,kaopen,openc,realgdpgr,inflation.y,debt,deficit,pbal,interest,unemp,sstran,postfisc_gini
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1975,529.0886694,2.248047059,-0.019163473,22.8972934,NA,NA,NA,NA,8,0,8,18,6,0,3,2,F,5,0.598387159,5613,1,2,0,2,2,0,1,NA,1,196,0,0,0,0,7,7,0.34,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1976,605.8191248,4.817187269,2.472640337,25.35124968,NA,NA,NA,NA,8,0,8,19,6,0,3,2,F,5,0.59840807,5613,1,2,0,2,2,0,2,NA,1,196,0,0,0,0,7,7,0.34,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1977,751.6257542,4.148013439,1.809283869,29.16582811,NA,NA,NA,NA,8,0,8,20,6,0,3,2,F,5,0.536421701,5613,1,2,0,2,2,0,3,NA,1,196,0,0,0,0,7,7,0.34,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1978,877.7966283,8.46345,6.019992747,17.10689585,NA,NA,NA,NA,8,0,8,21,6,0,3,2,F,5,0.599615629,5148,1,2,0,2,2,0,4,NA,1,196,0,0,1,1,7,7,0.34,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1979,1030.497681,5.382853373,3.006717597,24.03622999,NA,NA,NA,NA,8,0,8,22,6,0,3,2,F,5,0.598405431,5148,1,2,0,2,2,0,5,NA,1,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1980,1204.155168,4.098199161,1.754919159,27.60264035,NA,NA,NA,NA,8,0,8,23,6,0,3,2,F,5,0.527007621,5148,1,2,0,2,2,0,6,NA,1,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1981,1282.364618,2.263216774,-0.036376507,22.78227114,NA,NA,NA,NA,8,0,8,24,6,0,NA,NA,NA,NA,0.600987865,5148,1,2,0,2,2,0,7,NA,1,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1982,1342.468124,0.948480319,-1.316113198,24.76638373,NA,NA,NA,NA,8,0,8,25,6,0,3,2,F,5,0.571058996,4937,1,2,0,2,2,0,8,NA,1,199,0,0,1,1,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1983,1304.601346,1.584376304,-0.673802978,20.39022511,NA,NA,NA,NA,8,0,8,26,6,0,3,2,F,5,0.618130347,4937,1,2,0,2,2,0,1,NA,0,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1984,1260.395794,3.355101016,1.097328003,22.17500486,NA,NA,NA,NA,8,0,8,27,6,0,3,2,F,5,0.618577314,4937,1,2,0,2,2,0,2,NA,0,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1985,1125.201935,3.088264652,0.888984107,24.90633312,NA,NA,NA,NA,8,0,8,28,6,0,3,2,F,5,0.717953337,4937,1,2,0,2,2,0,3,NA,0,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1986,1103.338706,5.83829241,3.63900593,29.15157631,NA,NA,NA,NA,8,0,8,29,6,0,3,2,F,5,0.616872175,5739,1,2,0,2,2,0,4,NA,0,199,0,0,1,1,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1987,1125.261149,5.371506806,3.237794365,23.37392191,NA,NA,NA,NA,8,0,8,30,6,0,3,2,F,5,0.612905434,5739,1,2,0,2,2,0,1,NA,0,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1988,1189.140678,4.059821002,2.004818831,27.75539932,NA,NA,NA,NA,8,0,8,31,6,0,3,2,F,5,0.536252742,5739,1,2,0,2,2,0,2,NA,0,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1989,1175.93261,3.417426656,1.421601865,24.68180065,NA,NA,NA,NA,8,0,8,32,6,0,4,3,PF,7,0.54364147,5739,1,2,0,2,2,0,3,NA,0,199,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1990,1175.14927,6.042038478,4.039736278,26.10513922,NA,NA,NA,NA,8,0,8,33,6,0,4,3,PF,7,0.26403502,5664,1,2,0,2,2,0,4,NA,0,199,0,0,1,1,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1991,1181.081644,2.277231497,0.387326457,26.18781409,NA,NA,NA,NA,9,0,9,34,7,0,4,2,PF,6,0.293825566,6859,1,2,0,3,2,0,5,NA,0,196,0,0,1,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1992,1385.866477,5.032677497,3.136596078,22.22595459,NA,NA,NA,NA,9,0,9,35,7,0,4,2,PF,6,0.295670884,6859,1,2,0,3,2,0,6,NA,0,146,0,0,0,0,7,7,0.36,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1993,1541.712369,2.365650574,0.565567661,27.95354001,NA,NA,NA,NA,9,0,9,36,7,0,4,2,PF,6,0.293731484,6859,1,2,0,3,2,0,7,NA,0,146,0,0,0,0,7,7,0.39,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1994,2218.78471,5.835811494,4.029794244,45.35706146,NA,NA,NA,NA,9,0,9,37,7,0,4,3,PF,7,0.295854652,5834,1,2,0,3,2,0,8,NA,0,146,0,0,1,1,7,7,0.39,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1995,2470.683623,5.202437593,3.4647784,18.85095726,NA,NA,NA,NA,7,0,7,38,6,0,4,4,PF,8,0.220214912,5834,1,2,0,3,2,0,9,NA,0,161,0,0,0,0,7,7,0.39,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1996,2553.549692,2.055854712,0.427584131,16.86837879,NA,NA,NA,NA,7,0,7,39,6,0,4,4,PF,8,0.221715994,5834,1,2,0,3,2,0,10,NA,0,161,0,0,0,0,7,7,0.39,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1997,2759.952748,3.430293678,1.834165369,16.83985293,NA,NA,NA,NA,7,0,7,40,6,0,4,4,PF,8,0.219628088,5834,1,2,0,3,2,0,11,NA,0,161,0,0,0,0,7,7,0.39,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1998,2509.139633,0.56978409,-0.939121717,14.77304541,NA,5.40391549,NA,NA,7,0,7,41,6,0,4,3,PF,7,0.26506457,5366,1,2,0,3,2,0,12,NA,0,161,0,0,0,0,7,7,0.38,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,1999,2164.432929,-4.204015244,-5.611912127,12.62294083,NA,19.06535087,NA,NA,7,0,7,42,6,0,4,4,PF,8,0.16613172,5366,1,2,0,3,2,0,1,NA,0,161,1,0,1,1,7,7,0.38,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,2000,2472.197831,4.419993,2.908948535,31.76134759,NA,17.70902168,NA,-5.253895104,7,0,7,43,6,0,4,4,PF,8,0.151899001,5366,1,2,0,3,2,0,2,NA,0,161,1,0,0,0,7,7,0.38,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,2001,2395.856551,1.677898308,0.226857288,6.518448292,NA,NA,NA,-4.776157732,7,0,7,44,6,0,4,4,PF,8,0.16839959,5366,1,2,0,3,2,0,3,NA,0,161,1,0,0,0,7,7,0.38,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,2002,2355.725857,2.503980465,1.065060726,5.968190573,NA,NA,NA,-4.088487423,7,0,7,45,6,0,4,4,PF,8,0.163999595,8593,1,2,0,3,2,0,4,NA,0,161,1,0,1,1,7,7,0.38,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,100,Colombia,Latin America & Caribbean,Upper middle income,2003,2246.257472,3.918271904,2.489228212,6.829014842,NA,52.53541953,NA,-3.044300428,7,0,7,46,6,0,4,4,PF,8,0.166827582,8593,1,2,0,3,2,0,NA,NA,NA,161,0,0,0,0,7,7,0.38,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
