country,year,iso,region,income_group,gdppccurr,lgdppc,gdpgr,prevgdpgr,gdppcgr,prevgdppcgr,debt,deltadebt,deficit,spending,pbal,CLI,inflation,legisfrac,parliaresp,legiseff,legisselec,system,prtyin,execrlc,allhouse,oppmajh,oppmajs,legelec,exelec,liec,eiec,ssh,prop_rep,housesys,sensys,cpds,eu,cab_right,cab_cent,cab_left,cab_leaning,party_right,party_cent,party_left,womenpar,inscons,fed,pres,repres,bic,kaopen,openc,pop1564,pop65,interest,unemp,sstran,postfisc_gini,democ,autoc,polity,durable,xcons,state_fail,cl,pr,fh_status,fh_score,uds_mean
Australia,1975,AUS,East Asia & Pacific,High income,6998.239869,8.853413949,2.419663392,NA,0.092915577,NA,NA,NA,-2.914880221,31.63783117,-1.456215675,96.72348,15.16245487,0.6001,3,3,2,2,3,3,NA,NA,NA,0,0,7,7,0.33,1,1,0,1,0,13.7,0,86.3,4,13.7,0,86.3,0,3,1,0,1,4,0.4145133,26.95397,63.786099,8.72070822,9.741666667,4.770507813,5.765166283,NA,1,0,1,74,1,0,1,1,1,1,1.664792408
Australia,1976,AUS,East Asia & Pacific,High income,7480.521526,8.920057791,3.888248787,2.419663392,1.567454957,0.092915577,NA,NA,-3.021132214,33.81255234,-1.492052598,99.65843,13.32288401,0.6001,3,3,2,2,1,1,0,0,0,0,0,7,7,0.33,1,1,0,1,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,28.72426,64.08544013,8.927669613,10.03083333,4.952014446,6.591074467,NA,1,0,1,75,1,0,1,1,1,1,1.653557779
Australia,1977,AUS,East Asia & Pacific,High income,7769.59668,8.957973535,1.486018577,3.888248787,2.446906403,1.567454957,NA,NA,-3.511066394,34.858897,-1.835871463,99.63931,12.30982019,0.5909,3,3,2,2,2,1,0,0,0,1,0,7,7,0.33,1,1,0,1,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,28.27149,64.40852182,9.072449963,10.22666667,5.909198284,7.039838314,NA,1,0,1,76,1,0,1,1,1,1,2.075952572
Australia,1978,AUS,East Asia & Pacific,High income,8246.317846,9.017522058,2.014849613,1.486018577,-0.268301306,2.446906403,NA,NA,-4.179642291,34.58981547,-2.313775063,99.70985,8.004926108,0.5909,3,3,2,2,3,1,0,0,0,0,0,7,7,0.33,1,1,0,1,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,29.72952,64.69262654,9.240120563,9.06,6.499222755,6.754650116,NA,1,0,1,77,1,0,1,1,1,1,1.660677252
Australia,1979,AUS,East Asia & Pacific,High income,9287.158625,9.136387932,4.617828181,2.014849613,2.937545748,-0.268301306,NA,NA,-2.884201682,32.96907334,-0.745305458,100.6973,9.122006842,0.5909,3,3,2,2,4,1,0,0,0,0,0,7,7,0.33,1,1,0,1,0,100,0,0,1,100,0,0,0,3,1,0,1,4,0.4145133,32.40879,64.94724069,9.43616327,9.749166667,6.122083664,6.448663235,NA,1,0,1,78,1,0,1,1,1,1,1.662007464
Australia,1980,AUS,East Asia & Pacific,High income,10201.9783,9.230336931,2.726435118,4.617828181,1.803891792,2.937545748,NA,NA,-2.278131844,32.94014913,0.165112013,101.4536,10.13584117,0.4831,3,3,2,2,5,1,0,0,0,1,0,7,7,0.33,1,1,0,1,0,100,0,0,1,100,0,0,2.4,3,1,0,1,4,0.4145133,31.70403,65.12997799,9.617164495,11.6475,6.187365532,6.357284546,NA,1,0,1,79,1,0,1,1,1,1,1.662155355
Australia,1981,AUS,East Asia & Pacific,High income,11844.63254,9.379630094,4.177560388,2.726435118,1.729251512,1.803891792,NA,NA,-2.686287278,33.10736146,0.008915126,101.6141,9.487666034,0.4831,3,3,2,2,6,1,0,0,0,0,0,7,7,0.33,1,1,0,1,0,100,0,0,1,100,0,0,2.4,3,1,0,1,4,0.4145133,30.4194,65.28547283,9.749873992,13.95833333,5.881696224,6.345395565,26.5,1,0,1,80,1,0,NA,NA,NA,NA,1.664755365
Australia,1982,AUS,East Asia & Pacific,High income,12778.66257,9.455532072,-0.355185305,4.177560388,1.610819106,1.729251512,NA,NA,-3.736493816,35.7886238,-0.846015457,98.81521,11.35181976,0.4831,3,3,2,2,7,1,0,0,0,0,0,7,7,0.33,1,1,0,1,0,100,0,0,1,100,0,0,2.4,3,1,0,1,4,0.4145133,29.27019,65.46581599,9.870543122,15.375,7.045244694,7.225071907,NA,1,0,1,81,1,0,1,1,1,1,1.661988831
Australia,1983,AUS,East Asia & Pacific,High income,11528.1681,9.352548719,-0.154089134,-0.355185305,-3.445996126,1.610819106,NA,NA,-4.924803306,37.31148138,-1.817260153,96.82836,10.03891051,0.5518,3,3,2,2,8,1,0,0,0,1,0,7,7,0.33,1,1,0,1,0,18.9,0,81.1,4,18.9,0,81.1,4.8,3,1,0,1,4,0.4145133,28.62017,65.65582768,9.976698151,13.8875,10.34975719,7.427445412,NA,1,0,1,82,1,0,1,1,1,1,1.402728967
Australia,1984,AUS,East Asia & Pacific,High income,12448.78373,9.429378205,6.524823689,-0.154089134,3.452794946,-3.445996126,NA,NA,-4.871284992,38.80630448,-1.387387705,101.1818,3.96039604,0.5804,3,3,2,2,1,3,0,0,0,1,0,7,7,0.33,1,1,0,1,0,0,0,100,5,0,0,100,5.4,3,1,0,1,4,0.474916,32.60182,65.91914081,10.10171802,13.525,8.922535896,7.25731039,NA,1,0,1,83,1,0,1,1,1,1,1.989815534
